#HMS-PCI Spoke	( 3620)
YGR040W	YER167W
YGR040W	YDL159W
YGR040W	YPL049C
YGR040W	YHR084W
YGR040W	YLR362W
YGR040W	YPL115C
YGR040W	YLR154C
YGR040W	YDR190C
YGR040W	YLR304C
YDR388W	YOR204W
YDR388W	YPL249C
YDR388W	YHL030W
YDR388W	YJR139C
YDR388W	YLR355C
YDR388W	YIL094C
YDR388W	YML123C
YDR388W	YOR362C
YDR388W	YIL156W
YDR388W	YBL039C
YDR388W	YIL128W
YDR388W	YLR243W
YDR388W	YLL039C
YDR388W	YNL037C
YBR217W	YGR218W
YBR217W	YMR058W
YBR217W	YGL016W
YBR217W	YIL125W
YBR217W	YFR030W
YBR217W	YIL128W
YBR217W	YGR240C
YBR217W	YHR027C
YPL111W	YEL034W
YPL111W	YBR011C
YPL111W	YKL085W
YKL190W	YML057W
YBR155W	YEL030W
YBR155W	YLR355C
YBR155W	YGR234W
YLL050C	YLR429W
YLL050C	YNL138W
YDR225W	YBR009C
YDR225W	YOR038C
YDR225W	YDR224C
YDR225W	YGL241W
YDR225W	YNL308C
YDR225W	YKR048C
YDR225W	YPL043W
YDR225W	YOR207C
YDR225W	YPR190C
YDR225W	YOR116C
YDR225W	YGL207W
YDR225W	YGR103W
YDR225W	YLR222C
YGR040W	YIL142W
YGR040W	YGR155W
YGR040W	YDR480W
YGR040W	YBL022C
YGR040W	YPR010C
YGR040W	YDL097C
YGR040W	YBR083W
YGR040W	YER093C
YGR040W	YGL245W
YGR040W	YJR072C
YGR040W	YOL078W
YJR022W	YCL050C
YJR022W	YHR089C
YJR022W	YBL026W
YJR022W	YPR191W
YJR022W	YFR052W
YJR022W	YOR261C
YJR022W	YDL111C
YJR022W	YER029C
YJR022W	YPR016C
YJR022W	YGL117W
YGL035C	YDR194C
YGL035C	YOL041C
YNL061W	YOL077C
YNL061W	YGL019W
YNL061W	YHR051W
YNL061W	YMR319C
YNL061W	YHR089C
YNL061W	YER126C
YNL061W	YPL211W
YNL061W	YHR170W
YNL061W	YDL014W
YNL061W	YML123C
YNL061W	YDR087C
YNL061W	YLR197W
YNL061W	YER006W
YNL061W	YGL111W
YNL061W	YGR103W
YNL061W	YOR206W
YNL061W	YPL009C
YNL113W	YBR009C
YDL147W	YGL200C
YDL147W	YIL125W
YDL147W	YPR159W
YDL147W	YHR027C
YDL147W	YFR052W
YDL147W	YDL097C
YDL147W	YOR261C
YDL147W	YDR427W
YDL147W	YKL145W
YDL147W	YDL007W
YGL208W	YNR035C
YGL208W	YER027C
YGL208W	YOR136W
YGL208W	YFL045C
YGL208W	YDR477W
YGL208W	YGL115W
YGL208W	YDR212W
YDR510W	YDR155C
YGL115W	YPR160W
YGL115W	YDR032C
YGL115W	YOR018W
YGL115W	YDR422C
YGL115W	YOR267C
YHR152W	YMR308C
YHR152W	YNL138W
YML064C	YAR019C
YML064C	YER025W
YML064C	YBR227C
YML064C	YHR170W
YML064C	YDR032C
YML064C	YPL218W
YML064C	YBR281C
YML064C	YHR033W
YML064C	YKL067W
YER100W	YPL078C
YER100W	YGL195W
YER100W	YKL205W
YER100W	YEL055C
YER100W	YDR190C
YER100W	YDR170C
YER100W	YKL210W
YER100W	YBL004W
YER100W	YKL056C
